pclass;sex;age;sibsp;parch;fare;embarked;live
1;female;52;1;1;93.5;S;1
3;male;35;0;0;7.125;S;0
1;male;47;1;0;227.525;C;0
1;female;23;1;0;113.275;C;1
3;male;;0;0;7.8292;Q;0
1;male;67;1;0;221.7792;S;0
3;male;;0;0;8.05;S;0
3;female;18;0;0;7.2292;C;1
2;male;;0;0;13.8625;C;1
2;female;21;0;0;10.5;S;1
3;male;39;0;0;7.925;S;0
3;male;;0;0;7.2292;C;0
3;female;48;1;3;34.375;S;0
3;male;;0;0;7.8875;S;1
3;female;19;1;0;16.1;S;0
2;female;45;1;1;26.25;S;1
3;female;15;0;0;7.225;C;1
3;male;;0;0;7.75;Q;0
3;male;;0;0;15.5;Q;0
3;male;17;1;1;7.2292;C;0
2;male;18;0;0;11.5;S;0
3;male;;0;0;24.15;Q;0
3;male;44;0;0;8.05;S;0
3;male;;1;0;19.9667;S;0
2;male;23;2;1;11.5;S;0
3;male;22;0;0;9.35;S;0
3;male;;0;0;7.75;Q;0
2;male;22;0;0;10.5;S;1
3;male;40.5;0;0;15.1;S;0
3;male;22;0;0;7.225;C;1
2;male;25;0;0;13;S;0
2;male;30;0;0;13;S;0
1;female;36;0;2;71;S;1
3;male;;0;0;8.4583;Q;0
2;female;28;1;0;26;S;1
1;male;;0;0;30;S;1
3;female;24;1;0;15.85;S;1
2;female;7;0;2;26.25;S;1
3;male;21;0;0;7.7958;S;1
3;female;4;0;2;22.025;S;1
1;female;60;1;4;263;S;1
2;female;36;0;0;13;S;1
3;male;32;0;0;7.775;S;1
3;male;47;0;0;9;S;0
3;male;6;3;1;21.075;S;0
3;male;;0;0;7.8958;S;0
2;male;;0;0;0;S;0
3;male;3;1;1;15.9;S;1
3;male;51;0;0;7.75;S;0
3;male;;1;0;15.5;Q;0
1;male;23;0;1;63.3583;C;1
3;male;29;0;0;7.875;S;0
1;female;24;0;0;49.5042;C;1
3;male;24;0;0;7.8958;S;0
3;male;32;0;0;7.75;Q;0
3;female;18;0;0;7.775;S;0
2;male;27;0;0;15.0333;C;0
3;male;11.5;1;1;14.5;S;0
3;female;26;0;0;7.925;S;1
3;male;32;0;0;7.925;S;0
1;male;71;0;0;34.6542;C;0
1;male;17;0;0;47.1;S;0
3;male;18.5;0;0;7.2292;C;0
1;male;55;1;0;59.4;C;0
3;male;28;2;0;7.925;S;0
3;male;;0;0;7.225;C;0
3;male;22.5;0;0;7.225;C;0
3;male;26;2;0;8.6625;S;0
1;male;29;1;0;66.6;S;0
1;female;51;0;1;39.4;S;1
3;male;;0;0;7.8958;S;0
3;male;19;0;0;8.1583;S;0
3;male;;0;0;8.05;S;0
1;male;62;0;0;26.55;S;0
1;female;38;0;0;80;;1
3;male;26;0;0;7.8792;Q;0
1;male;56;0;0;30.6958;C;0
3;male;21;0;0;7.75;Q;0
3;female;30;0;0;7.6292;Q;0
3;female;31;0;0;8.6833;S;1
3;male;20.5;0;0;7.25;S;0
2;male;;0;0;0;S;0
2;male;30;0;0;13;S;0
2;male;24;0;0;13.5;S;0
1;female;36;0;0;135.6333;C;1
2;male;18;0;0;11.5;S;0
3;male;39;0;0;24.15;S;0
2;male;32;0;0;10.5;S;0
1;female;39;1;0;55.9;S;1
3;female;22;0;0;7.725;Q;1
3;male;40;0;0;7.8958;S;0
2;female;26;1;1;26;S;0
3;male;25;0;0;7.7958;S;1
3;male;18;0;0;7.775;S;0
2;female;33;1;2;27.75;S;1
1;male;;0;0;30.5;S;1
1;male;21;0;1;77.2875;S;0
3;female;18;0;0;8.05;S;1
2;female;55;0;0;16;S;1
2;male;57;0;0;12.35;Q;0
2;male;38;1;0;21;S;0
2;male;1;2;1;39;S;1
1;male;64;1;0;75.25;C;0
3;male;;1;0;7.75;Q;0
3;male;;0;0;7.2292;C;0
3;female;;1;0;15.5;Q;1
1;male;25;1;0;55.4417;C;1
2;male;42;1;1;32.5;S;0
3;female;;1;0;14.4583;C;0
3;male;36;1;1;24.15;S;0
2;male;23;0;0;13;S;0
3;male;32;0;0;56.4958;S;1
3;male;20;0;0;7.8542;S;0
1;male;27;0;0;30.5;S;1
2;male;23;0;0;15.0458;C;0
2;male;27;0;0;26;S;0
2;male;;0;0;15.5792;C;0
2;male;19;0;0;10.5;S;1
1;female;42;0;0;227.525;C;1
3;male;;1;1;15.2458;C;1
2;male;24;2;0;31.5;S;0
2;female;6;0;1;33;S;1
2;female;54;1;3;23;S;1
3;female;;1;2;23.45;S;0
3;male;;3;1;25.4667;S;0
1;male;31;1;0;57;S;1
3;male;7;4;1;29.125;Q;0
3;female;18;0;0;6.75;Q;0
1;female;35;1;0;53.1;S;1
3;female;16;0;0;7.7333;Q;1
3;male;;1;1;22.3583;C;1
1;female;41;0;0;134.5;C;1
1;male;46;1;0;61.175;S;0
3;male;;0;0;8.1125;S;1
3;female;39;1;5;31.275;S;0
3;male;;0;0;8.05;S;0
3;male;25;0;0;7.225;C;0
3;male;;0;0;7.2292;C;0
1;female;48;0;0;25.9292;S;1
3;male;61;0;0;6.2375;S;0
2;female;12;0;0;15.75;S;1
3;male;43;0;0;8.05;S;0
1;female;18;1;0;60;S;1
3;female;9;1;1;15.2458;C;0
1;male;;0;0;31;S;0
3;male;32;0;0;7.8542;S;1
3;male;;0;0;7.75;Q;1
1;male;52;0;0;30.5;S;1
3;female;45;1;4;27.9;S;0
1;female;25;1;2;151.55;S;0
3;male;;8;2;69.55;S;0
3;male;20;0;0;7.05;S;0
2;male;21;2;0;73.5;S;0
3;male;21;0;0;8.05;S;0
3;male;24;0;0;7.775;S;0
2;male;35;0;0;10.5;S;0
3;male;1;5;2;46.9;S;0
3;male;4;3;2;27.9;S;0
2;female;33;0;2;26;S;1
2;female;21;0;1;21;S;1
2;male;57;0;0;13;S;0
2;male;26;1;1;29;S;1
1;female;43;1;0;55.4417;C;1
1;female;24;0;0;69.3;C;1
1;female;28;3;2;263;S;1
3;male;29;0;0;9.5;S;1
3;male;23;0;0;7.05;S;0
3;male;;0;0;7.8958;S;0
3;male;20;0;0;7.2292;C;1
1;male;42;0;0;26.2875;S;1
3;male;;0;0;14.5;S;0
2;male;18;0;0;73.5;S;0
2;male;70;0;0;10.5;S;0
3;male;26;0;0;7.775;S;1
2;male;43;1;1;26.25;S;0
3;female;30;1;1;24.15;S;0
2;male;19;0;0;10.5;S;0
2;male;28;0;1;33;S;0
3;male;;0;0;7.8958;S;0
3;female;31;1;1;20.525;S;1
3;male;;0;0;7.2292;C;0
2;male;30;0;0;10.5;S;0
3;female;;0;0;14.5;S;0
2;male;32;0;0;13;S;0
2;female;25;1;1;30;S;1
3;male;20;1;1;15.7417;C;1
2;male;30;0;0;13;S;0
3;female;47;1;0;14.5;S;0
3;male;23;1;0;13.9;S;0
3;male;;0;0;7.75;Q;0
2;male;31;0;0;13;S;1
3;male;2;4;1;29.125;Q;0
2;female;8;0;2;26.25;S;1
1;male;55;0;0;30.5;S;0
1;male;42;0;0;26.55;S;0
3;female;;0;2;15.2458;C;1
3;male;26;0;0;7.8958;S;0
1;male;47;0;0;38.5;S;0
1;male;35;0;0;26.2875;S;1
1;female;;1;0;133.65;S;1
2;male;25;0;0;10.5;S;0
3;male;;0;0;7.8958;S;0
1;male;;0;0;25.925;S;0
3;male;;0;0;8.05;S;0
3;male;40.5;0;0;7.75;Q;0
3;male;;0;0;7.225;C;0
3;female;19;0;0;7.8792;Q;1
1;male;70;1;1;71;S;0
3;female;23;0;0;7.8542;S;1
2;male;42;0;0;13;S;0
3;female;;0;4;25.4667;S;0
3;female;;0;0;7.7333;Q;1
3;male;20;0;0;7.925;S;1
1;male;54;1;0;55.4417;C;1
3;female;22;2;0;8.6625;S;0
3;female;;0;0;7.7208;Q;1
3;male;21;0;0;8.05;S;0
3;male;;0;0;7.225;C;0
3;male;30;0;0;8.05;S;0
3;male;22;0;0;9;S;0
1;male;36;1;2;120;S;1
2;male;17;0;0;73.5;S;0
1;male;38;0;1;153.4625;S;0
1;female;45;0;1;59.4;C;1
3;male;33;0;0;8.6625;C;0
1;male;38;1;0;90;S;1
3;female;63;0;0;9.5875;S;1
3;male;16;0;0;7.775;S;0
3;male;;0;0;7.8958;S;0
1;male;58;0;0;29.7;C;0
3;male;40.5;0;2;14.5;S;0
1;male;30;0;0;26;S;0
2;male;36;0;0;10.5;S;0
1;male;45;1;1;134.5;C;1
1;male;33;0;0;26.55;S;0
2;male;35;0;0;26;S;0
2;male;36;0;0;13;S;0
1;male;61;0;0;32.3208;S;0
3;male;30;0;0;8.05;S;0
2;male;54;1;0;26;S;0
2;male;25;0;0;31.5;S;0
2;female;5;1;2;27.75;S;1
3;male;24;0;0;9.5;S;0
1;male;0.9167;1;2;151.55;S;1
3;male;;0;0;7.55;S;0
3;female;47;1;0;7;S;1
3;male;;2;0;23.25;Q;1
3;female;26;1;1;22.025;S;1
1;male;60;0;0;26.55;S;0
2;male;32;0;0;13.5;S;0
2;female;50;0;1;26;S;1
3;female;;8;2;69.55;S;0
3;female;22;1;1;12.2875;S;1
1;female;2;1;2;151.55;S;0
3;female;13;0;0;7.2292;C;1
3;male;17;1;0;7.0542;S;0
2;male;;0;0;0;S;0
1;male;64;1;4;263;S;0
3;female;;0;0;7.8792;Q;1
2;male;63;1;0;26;S;0
3;male;55.5;0;0;8.05;S;0
3;male;2;4;1;39.6875;S;0
2;female;22;0;0;21;S;0
2;male;42;1;0;27;S;0
1;male;65;0;0;26.55;S;0
3;male;;0;0;7.75;Q;0
2;male;34;1;0;26;S;0
3;male;;0;0;7.75;Q;0
2;female;45;0;0;13.5;S;1
3;male;18;1;0;14.4542;C;0
3;female;38;0;0;7.2292;C;1
1;male;60;1;1;79.2;C;1
1;male;54;0;1;77.2875;S;0
3;male;28;0;0;8.05;S;0
2;female;18;0;1;23;S;1
1;male;41;0;0;30.5;S;0
3;male;;0;0;7.7333;Q;0
3;male;22;0;0;7.8958;S;0
3;female;;0;0;7.8292;Q;1
3;male;;0;0;7.8958;S;0
2;male;21;1;0;11.5;S;0
3;female;4;0;1;13.4167;C;1
1;male;;0;0;221.7792;S;0
3;male;;0;0;7.75;Q;0
3;male;0.3333;0;2;14.4;S;0
3;male;11;0;0;18.7875;C;0
3;male;22;0;0;7.7958;S;0
1;male;26;0;0;30;C;1
1;male;28.5;0;0;27.7208;C;0
2;female;36;0;0;13;S;1
1;male;28;0;0;47.1;S;0
3;female;27;0;0;7.8792;Q;0
3;male;34;0;0;6.4958;S;0
3;male;49;0;0;0;S;0
3;male;24;0;0;7.25;Q;0
1;female;39;1;1;110.8833;C;1
3;male;;0;0;14.5;S;0
1;female;53;0;0;27.4458;C;1
3;female;2;0;1;10.4625;S;0
3;female;24;0;0;7.75;Q;0
2;male;20;0;0;13.8625;C;1
1;female;45;1;0;52.5542;S;1
1;male;46;0;0;75.2417;C;0
3;male;;0;0;7.2292;C;0
3;female;27;0;0;7.925;S;1
2;male;22;2;0;31.5;S;0
3;male;31;0;0;7.7333;Q;0
3;male;21;2;0;24.15;S;0
3;male;32;0;0;8.3625;S;0
2;male;39;0;0;13;S;0
2;female;28;0;0;12.65;S;1
3;male;;0;0;8.05;S;0
1;male;28;0;0;26.55;S;1
1;male;45;0;0;29.7;C;1
3;male;;0;0;7.75;Q;0
3;male;;0;0;7.55;S;0
1;male;42;1;0;52.5542;S;1
1;male;21;0;1;61.3792;C;1
2;male;23;1;0;10.5;S;0
1;female;33;1;0;53.1;S;1
2;male;50;1;0;26;S;0
2;male;31;1;1;37.0042;C;0
3;female;16;0;0;7.65;S;1
3;male;70.5;0;0;7.75;Q;0
3;male;50;1;0;14.5;S;0
2;male;49;1;2;65;S;0
3;female;;8;2;69.55;S;0
2;male;46;0;0;26;S;0
3;female;3;1;1;13.775;S;0
3;female;27;0;2;11.1333;S;1
3;male;29;0;0;7.75;Q;1
3;male;31;0;0;7.925;S;1
3;female;17;0;1;16.1;S;1
1;female;58;0;1;512.3292;C;1
1;female;44;0;0;27.7208;C;1
3;male;;0;0;7;S;0
1;female;31;0;2;164.8667;S;1
2;female;29;1;0;26;S;1
3;male;31;3;0;18;S;0
1;male;;0;0;39.6;S;1
2;male;29;0;0;13.8583;C;1
3;female;17;0;0;7.7333;Q;0
2;female;34;1;1;32.5;S;1
3;male;;0;0;7.25;S;0
2;female;0.9167;1;2;27.75;S;1
